user_id,event_date,event
1,2026-08-07,page_view
2,2026-08-20,page_view
2,2026-08-20,hotel_click
3,2026-08-29,page_view
3,2026-08-30,hotel_click
4,2026-08-15,page_view
5,2026-08-11,page_view
6,2026-08-08,page_view
7,2026-08-29,page_view
8,2026-08-21,page_view
9,2026-08-07,page_view
10,2026-08-26,page_view
10,2026-08-26,hotel_click
10,2026-08-27,checkout_start
11,2026-08-19,page_view
12,2026-08-23,page_view
13,2026-08-11,page_view
13,2026-08-11,hotel_click
13,2026-08-12,checkout_start
14,2026-08-11,page_view
15,2026-08-24,page_view
16,2026-08-21,page_view
17,2026-08-04,page_view
18,2026-08-08,page_view
19,2026-08-24,page_view
20,2026-08-03,page_view
21,2026-08-22,page_view
21,2026-08-22,hotel_click
21,2026-08-22,checkout_start
22,2026-08-21,page_view
23,2026-08-02,page_view
24,2026-08-24,page_view
25,2026-08-12,page_view
26,2026-08-30,page_view
27,2026-08-06,page_view
28,2026-08-02,page_view
29,2026-08-28,page_view
29,2026-08-29,hotel_click
29,2026-08-29,checkout_start
30,2026-08-21,page_view
31,2026-08-01,page_view
31,2026-08-02,hotel_click
32,2026-08-12,page_view
32,2026-08-12,hotel_click
33,2026-08-26,page_view
34,2026-08-22,page_view
34,2026-08-23,hotel_click
34,2026-08-24,checkout_start
35,2026-08-29,page_view
36,2026-08-12,page_view
37,2026-08-25,page_view
38,2026-08-17,page_view
38,2026-08-18,hotel_click
38,2026-08-19,checkout_start
38,2026-08-20,booking
39,2026-08-27,page_view
40,2026-08-27,page_view
41,2026-08-10,page_view
42,2026-08-28,page_view
43,2026-08-28,page_view
44,2026-08-16,page_view
44,2026-08-17,hotel_click
45,2026-08-15,page_view
45,2026-08-16,hotel_click
45,2026-08-17,checkout_start
46,2026-08-30,page_view
46,2026-08-31,hotel_click
47,2026-08-30,page_view
47,2026-08-30,hotel_click
47,2026-08-31,checkout_start
47,2026-08-31,booking
48,2026-08-15,page_view
48,2026-08-16,hotel_click
49,2026-08-30,page_view
49,2026-08-30,hotel_click
49,2026-08-31,checkout_start
50,2026-08-19,page_view
50,2026-08-19,hotel_click
50,2026-08-20,checkout_start
50,2026-08-21,booking
51,2026-08-12,page_view
52,2026-08-23,page_view
53,2026-08-20,page_view
54,2026-08-25,page_view
54,2026-08-26,hotel_click
55,2026-08-03,page_view
55,2026-08-03,hotel_click
55,2026-08-03,checkout_start
55,2026-08-03,booking
56,2026-08-05,page_view
57,2026-08-19,page_view
58,2026-08-07,page_view
59,2026-08-21,page_view
59,2026-08-21,hotel_click
60,2026-08-09,page_view
61,2026-08-07,page_view
62,2026-08-18,page_view
63,2026-08-04,page_view
64,2026-08-25,page_view
64,2026-08-25,hotel_click
64,2026-08-25,checkout_start
65,2026-08-28,page_view
65,2026-08-29,hotel_click
66,2026-08-14,page_view
66,2026-08-15,hotel_click
66,2026-08-15,checkout_start
67,2026-08-18,page_view
68,2026-08-26,page_view
69,2026-08-09,page_view
69,2026-08-10,hotel_click
70,2026-08-26,page_view
71,2026-08-21,page_view
72,2026-08-02,page_view
73,2026-08-20,page_view
73,2026-08-20,hotel_click
73,2026-08-21,checkout_start
74,2026-08-28,page_view
74,2026-08-29,hotel_click
74,2026-08-30,checkout_start
75,2026-08-15,page_view
76,2026-08-28,page_view
77,2026-08-07,page_view
77,2026-08-07,hotel_click
78,2026-08-12,page_view
79,2026-08-29,page_view
79,2026-08-30,hotel_click
80,2026-08-08,page_view
81,2026-08-15,page_view
82,2026-08-03,page_view
82,2026-08-03,hotel_click
82,2026-08-03,checkout_start
82,2026-08-03,booking
83,2026-08-14,page_view
84,2026-08-17,page_view
84,2026-08-17,hotel_click
84,2026-08-17,checkout_start
84,2026-08-19,booking
85,2026-08-04,page_view
86,2026-08-18,page_view
86,2026-08-18,hotel_click
87,2026-08-08,page_view
87,2026-08-08,hotel_click
87,2026-08-09,checkout_start
88,2026-08-04,page_view
89,2026-08-02,page_view
90,2026-08-30,page_view
91,2026-08-06,page_view
92,2026-08-22,page_view
93,2026-08-10,page_view
94,2026-08-04,page_view
95,2026-08-22,page_view
95,2026-08-23,hotel_click
95,2026-08-24,checkout_start
95,2026-08-24,booking
96,2026-08-29,page_view
97,2026-08-18,page_view
98,2026-08-26,page_view
